set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set4,MP,Class1_4_50_100_25_75,50,97,100,100,4331,4507,49,97,100,100,4331,4507,9926,9926,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_5_10_100_10_50,10,90,100,100,1803,1827,8,90,100,100,1803,1827,9990,9990,0,1,0,0,0.001,0.001,0,0.002
Set4,MP,Class1_5_10_100_25_75,10,15,100,100,824,693,10,15,100,100,824,693,9394,9394,0,1,0,0.001,0,0,0,0.001
Set4,MP,Class1_5_20_100_10_50,20,97,100,100,2500,2387,20,97,100,100,2500,2387,9959,9959,0,1,0,0,0.002,0.002,0.002,0.006
Set4,MP,Class1_5_20_100_25_75,20,33,100,100,1458,1643,20,33,100,100,1458,1643,9325,9325,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_5_30_100_10_50,30,206,100,100,5498,5481,30,206,100,100,5498,5481,10000,10000,0,1,0,0,0.001,0,0.051,0.052
Set4,MP,Class1_5_30_100_25_75,30,56,100,100,2629,2614,30,56,100,100,2629,2614,9688,9688,0,1,0,0,0,0,0,0
Set4,MP,Class1_5_40_100_10_50,40,290,100,100,6552,6838,39,290,100,100,6552,6838,10000,10000,0,1,0,0,0.002,0,0.241,0.243
Set4,MP,Class1_5_40_100_25_75,40,80,100,100,3421,3581,40,80,100,100,3421,3581,9793,9793,0,1,0,0,0.001,0.001,0.001,0.003
Set4,MP,Class1_5_50_100_10_50,50,402,100,100,10375,8061,48,402,100,100,10375,8061,10000,10000,0,1,0,0,0.002,0,0.042,0.044
Set4,MP,Class1_5_50_100_25_75,50,105,100,100,4349,4771,49,105,100,100,4349,4771,9910,9910,0,1,0,0,0.001,0.001,0,0.002
Set4,MP,Class1_6_10_100_10_50,10,116,100,100,2346,2293,10,116,100,100,2346,2293,9961,9961,0,1,0,0.001,0.001,0.002,0.004,0.008
Set4,MP,Class1_6_10_100_25_75,10,19,100,100,971,971,10,19,100,100,971,971,8666,8666,0,1,0,0,0,0,0,0
Set4,MP,Class1_6_20_100_10_50,20,126,100,100,3440,3606,20,126,100,100,3440,3606,9969,9969,0,1,0,0,0.001,0.003,0.035,0.039
Set4,MP,Class1_6_20_100_25_75,20,53,100,100,2206,2096,20,53,100,100,2206,2096,9731,9731,0,1,0,0,0.001,0,0.001,0.002
Set4,MP,Class1_6_30_100_10_50,30,341,100,100,8709,6363,29,341,100,100,8709,6363,10000,10000,0,1,0,0.001,0.001,0,0.056,0.058
Set4,MP,Class1_6_30_100_25_75,30,57,100,100,2666,2731,30,57,100,100,2666,2731,9812,9812,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_6_40_100_10_50,40,293,100,100,6659,7411,39,293,100,100,6659,7411,10000,10000,0,1,0,0,0.002,0,0.314,0.316
Set4,MP,Class1_6_40_100_25_75,40,81,100,100,3783,3692,38,81,100,100,3783,3692,10000,10000,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_6_50_100_10_50,50,317,100,100,9010,8722,49,317,100,100,9010,8722,10000,10000,0,1,0,0,0.002,0,0.316,0.318
Set4,MP,Class1_6_50_100_25_75,50,101,100,100,4646,4519,49,101,100,100,4646,4519,9900,9900,0,1,0,0,0.001,0.001,0,0.002
Set4,MP,Class1_7_10_100_10_50,10,59,100,100,1642,1628,10,59,100,100,1642,1628,9694,9694,0,1,0,0,0,0.001,0.002,0.003
Set4,MP,Class1_7_10_100_25_75,10,20,100,100,971,945,10,20,100,100,971,945,8898,8898,0,1,0,0,0,0,0,0
Set4,MP,Class1_7_20_100_10_50,20,146,100,100,4002,3746,20,146,100,100,4002,3746,9988,9988,0,1,0,0,0.001,0.003,0,0.004
Set4,MP,Class1_7_20_100_25_75,20,38,100,100,1907,1934,20,38,100,100,1907,1934,9643,9643,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_7_30_100_10_50,30,197,100,100,5157,4708,30,197,100,100,5157,4708,10000,10000,0,1,0,0.001,0.001,0.006,0,0.008
Set4,MP,Class1_7_30_100_25_75,30,64,100,100,2844,2883,30,64,100,100,2844,2883,9820,9820,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_7_40_100_10_50,40,328,100,100,7992,7268,40,328,100,100,7992,7268,10000,10000,0,1,0,0.001,0.002,0,0.059,0.062
Set4,MP,Class1_7_40_100_25_75,40,81,100,100,3640,3494,40,81,100,100,3640,3494,9965,9965,0,1,0,0,0,0,0,0
Set4,MP,Class1_7_50_100_10_50,50,304,100,100,7639,8266,50,304,100,100,7639,8266,10000,10000,0,1,0,0.001,0.002,0,0.076,0.079
Set4,MP,Class1_7_50_100_25_75,50,98,100,100,4669,4557,50,98,100,100,4669,4557,9857,9857,0,1,0,0,0.001,0.001,0,0.002
Set4,MP,Class1_8_10_100_10_50,10,54,100,100,1418,1239,10,54,100,100,1418,1239,9853,9853,0,1,0,0,0.001,0.001,0,0.002
Set4,MP,Class1_8_10_100_25_75,10,15,100,100,610,826,10,15,100,100,610,826,9174,9174,0,1,0,0.001,0,0,0,0.001
Set4,MP,Class1_8_20_100_10_50,20,102,100,100,3116,2470,20,102,100,100,3116,2470,9960,9960,0,1,0,0,0.002,0.001,0.001,0.004
Set4,MP,Class1_8_20_100_25_75,20,31,100,100,1633,1344,20,31,100,100,1633,1344,9740,9740,0,1,0,0,0,0,0,0
Set4,MP,Class1_8_30_100_10_50,30,263,100,100,5474,6332,30,263,100,100,5474,6332,10000,10000,0,1,0,0.001,0.001,0,0.053,0.055
Set4,MP,Class1_8_30_100_25_75,30,62,100,100,2711,2766,30,62,100,100,2711,2766,9968,9968,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_8_40_100_10_50,40,326,100,100,6295,7927,40,326,100,100,6295,7927,10000,10000,0,1,0,0,0.002,0,0.082,0.084
Set4,MP,Class1_8_40_100_25_75,40,70,100,100,3337,3628,40,70,100,100,3337,3628,9868,9868,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_8_50_100_10_50,50,295,100,100,8285,7633,47,295,100,100,8285,7633,10000,10000,0,1,0,0.001,0.001,0,0.276,0.278
Set4,MP,Class1_8_50_100_25_75,50,97,100,100,4240,4543,50,97,100,100,4240,4543,9838,9838,0,1,0,0,0.001,0.001,0,0.002
Set4,MP,Class1_9_10_100_10_50,10,78,100,100,2388,1531,10,78,100,100,2388,1531,9885,9885,0,1,0,0,0.002,0.001,0,0.003
Set4,MP,Class1_9_10_100_25_75,10,20,100,100,927,959,10,20,100,100,927,959,8907,8907,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_9_20_100_10_50,20,138,100,100,3076,3450,20,138,100,100,3076,3450,9969,9969,0,1,0,0,0.002,0.003,0.023,0.028
Set4,MP,Class1_9_20_100_25_75,20,43,100,100,1946,1771,20,43,100,100,1946,1771,9212,9212,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_9_30_100_10_50,30,181,100,100,4229,5590,30,181,100,100,4229,5590,10000,10000,0,1,0,0,0.002,0.004,0,0.006
Set4,MP,Class1_9_30_100_25_75,30,66,100,100,2830,2989,30,66,100,100,2830,2989,9888,9888,0,1,0,0.001,0,0,0,0.001
Set4,MP,Class1_9_40_100_10_50,40,321,100,100,8176,7360,40,321,100,100,8176,7360,10000,10000,0,1,0,0.001,0.002,0,0.167,0.17
Set4,MP,Class1_9_40_100_25_75,40,87,100,100,3607,3757,40,87,100,100,3607,3757,9898,9898,0,1,0,0,0.001,0.001,0,0.002
Set4,MP,Class1_9_50_100_10_50,50,384,100,100,8629,8212,49,384,100,100,8629,8212,10000,10000,0,1,0,0.001,0.001,0,0.3,0.302
