set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub',lb',gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set7,NGCUTFS,NGCUTFS1-149,250,1000,100,100,51072,46612,75,244,100,100,10308,9822,30000,30000,30000,30000,0,1,0,0.023,0.002,0,0.004,0.029
Set7,NGCUTFS,NGCUTFS1-150,250,1000,100,100,49736,46232,247,1000,100,100,49736,46232,30000,30000,30000,30000,0,1,0,0.008,0,0,0,0.008
Set7,NGCUTFS,NGCUTFS1-151,500,500,100,100,24575,24062,173,174,100,100,8648,8348,30000,30000,30000,30000,0,1,0,0.025,0.002,0.012,0,0.039
Set7,NGCUTFS,NGCUTFS1-152,500,500,100,100,24024,24652,172,173,100,100,7873,8439,30000,30000,30000,30000,0,1,0,0.027,0.002,0.012,0,0.041
Set7,NGCUTFS,NGCUTFS1-153,500,500,100,100,24620,23108,177,185,100,100,8876,8583,30000,30000,30000,30000,0,1,0,0.027,0.002,0.017,0,0.046
Set7,NGCUTFS,NGCUTFS1-154,500,500,100,100,24546,24454,496,500,100,100,24546,24454,30000,30000,30000,30000,0,1,0,0.015,0,0,0,0.015
Set7,NGCUTFS,NGCUTFS1-155,500,500,100,100,24613,23695,497,500,100,100,24613,23695,30000,30000,30000,30000,0,1,0,0.017,0,0,0,0.017
Set7,NGCUTFS,NGCUTFS1-156,500,500,100,100,23602,24098,166,167,100,100,7786,8022,30000,30000,30000,30000,0,1,0,0.028,0.002,0.015,0,0.045
Set7,NGCUTFS,NGCUTFS1-157,500,500,100,100,24409,23020,178,178,100,100,8541,8570,30000,30000,30000,30000,0,1,0,0.026,0.002,0.016,0,0.044
Set7,NGCUTFS,NGCUTFS1-158,500,500,100,100,22742,24912,492,500,100,100,22742,24912,30000,30000,30000,30000,0,1,0,0.017,0,0,0,0.017
Set7,NGCUTFS,NGCUTFS1-159,500,500,100,100,24352,23996,163,168,100,100,8393,7559,30000,30000,30000,30000,0,1,0,0.023,0.003,0.011,0,0.037
Set7,NGCUTFS,NGCUTFS1-160,500,500,100,100,24543,24119,160,165,100,100,8110,7419,30000,30000,30000,30000,0,1,0,0.025,0.002,0.014,0,0.041
Set7,NGCUTFS,NGCUTFS1-161,500,1500,100,100,75000,72747,490,1500,100,100,75000,72747,30000,30000,30000,30000,0,1,0,0.017,0,0,0,0.017
Set7,NGCUTFS,NGCUTFS1-162,500,1500,100,100,72231,74604,164,422,100,100,17782,19080,30000,30000,30000,30000,0,1,0,0.04,0.003,0,0.028,0.071
Set7,NGCUTFS,NGCUTFS1-163,500,1500,100,100,74232,75084,497,1500,100,100,74232,75084,30000,30000,30000,30000,0,1,0,0.019,0,0,0,0.019
Set7,NGCUTFS,NGCUTFS1-164,500,1500,100,100,73119,74778,490,1500,100,100,73119,74778,30000,30000,30000,30000,0,1,0,0.019,0,0,0,0.019
Set7,NGCUTFS,NGCUTFS1-165,500,1500,100,100,72288,74337,498,1500,100,100,72288,74337,30000,30000,30000,30000,0,1,0,0.017,0,0,0,0.017
Set7,NGCUTFS,NGCUTFS1-166,500,1500,100,100,72999,71301,490,1500,100,100,72999,71301,30000,30000,30000,30000,0,1,0,0.017,0,0,0,0.017
Set7,NGCUTFS,NGCUTFS1-167,500,1500,100,100,70986,69324,496,1500,100,100,70986,69324,30000,30000,30000,30000,0,1,0,0.017,0,0,0,0.017
Set7,NGCUTFS,NGCUTFS1-168,500,1500,100,100,70950,71001,494,1500,100,100,70950,71001,30000,30000,30000,30000,0,1,0,0.018,0,0,0,0.018
Set7,NGCUTFS,NGCUTFS1-169,500,1500,100,100,77079,72846,495,1500,100,100,77079,72846,30000,30000,30000,30000,0,1,0,0.016,0,0,0,0.016
Set7,NGCUTFS,NGCUTFS1-170,500,1500,100,100,75945,75393,493,1500,100,100,75945,75393,30000,30000,30000,30000,0,1,0,0.016,0,0,0,0.016
Set7,NGCUTFS,NGCUTFS1-171,500,2000,100,100,97752,96576,494,2000,100,100,97752,96576,30000,30000,30000,30000,0,1,0,0.021,0,0,0,0.021
Set7,NGCUTFS,NGCUTFS1-172,500,2000,100,100,95860,96852,498,2000,100,100,95860,96852,30000,30000,30000,30000,0,1,0,0.023,0,0,0,0.023
Set7,NGCUTFS,NGCUTFS1-173,500,2000,100,100,96592,93736,494,2000,100,100,96592,93736,30000,30000,30000,30000,0,1,0,0.023,0,0,0,0.023
Set7,NGCUTFS,NGCUTFS1-174,500,2000,100,100,103824,95764,494,2000,100,100,103824,95764,30000,30000,30000,30000,0,1,0,0.018,0,0,0,0.018
Set7,NGCUTFS,NGCUTFS1-175,500,2000,100,100,92516,98140,491,2000,100,100,92516,98140,30000,30000,30000,30000,0,1,0,0.022,0,0,0,0.022
Set7,NGCUTFS,NGCUTFS1-176,500,2000,100,100,99052,99060,490,2000,100,100,99052,99060,30000,30000,30000,30000,0,1,0,0.023,0,0,0,0.023
Set7,NGCUTFS,NGCUTFS1-177,500,2000,100,100,92828,94320,495,2000,100,100,92828,94320,30000,30000,30000,30000,0,1,0,0.021,0,0,0,0.021
Set7,NGCUTFS,NGCUTFS1-178,500,2000,100,100,95476,96020,492,2000,100,100,95476,96020,30000,30000,30000,30000,0,1,0,0.021,0,0,0,0.021
Set7,NGCUTFS,NGCUTFS1-179,500,2000,100,100,95996,99804,496,2000,100,100,95996,99804,30000,30000,30000,30000,0,1,0,0.021,0,0,0,0.021
