set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set7,NGCUTFS,NGCUTFS2-143,250,1000,100,100,43788,42128,249,1000,100,100,43788,42128,30000,30000,0.0,1,0,0.01,0.0,0.0,0.0,0.01
Set7,NGCUTFS,NGCUTFS2-144,250,1000,100,100,44908,41300,85,300,100,100,11255,10400,30000,30000,0.0,1,0,0.015,0.0,0.0,0.0,0.015
Set7,NGCUTFS,NGCUTFS2-145,250,1000,100,100,41760,42172,86,297,100,100,9554,10173,30000,30000,0.0,1,0,0.03,0.002,0.0,0.012,0.044
Set7,NGCUTFS,NGCUTFS2-146,250,1000,100,100,46528,44788,86,306,100,100,10239,10968,30000,30000,0.0,1,0,0.024,0.003,0.0,0.084,0.111
Set7,NGCUTFS,NGCUTFS2-147,250,1000,100,100,43680,42208,248,1000,100,100,43680,42208,30000,30000,0.0,1,0,0.013,0.0,0.0,0.0,0.013
Set7,NGCUTFS,NGCUTFS2-148,250,1000,100,100,43416,40936,82,288,100,100,10344,9759,30000,30000,0.0,1,0,0.045,0.002,0.0,0.025,0.072
Set7,NGCUTFS,NGCUTFS2-149,250,1000,100,100,43000,43684,250,1000,100,100,43000,43684,30000,30000,0.0,1,0,0.01,0.0,0.0,0.0,0.01
Set7,NGCUTFS,NGCUTFS2-150,250,1000,100,100,41232,43560,64,227,100,100,7894,7823,30000,30000,0.0,1,0,0.033,0.002,0.0,0.003,0.038
Set7,NGCUTFS,NGCUTFS2-151,500,500,100,100,21076,20368,155,157,100,100,6411,6249,30000,30000,0.0,1,0,0.029,0.0,0.0,0.0,0.029
Set7,NGCUTFS,NGCUTFS2-152,500,500,100,100,22631,20852,176,178,100,100,7540,7933,30000,30000,0.0,1,0,0.038,0.002,0.018,0.0,0.058
Set7,NGCUTFS,NGCUTFS2-153,500,500,100,100,21638,21624,173,175,100,100,7125,6839,30000,30000,0.0,1,0,0.037,0.003,0.016,0.0,0.056
Set7,NGCUTFS,NGCUTFS2-154,500,500,100,100,21248,21584,158,161,100,100,6631,6574,30000,30000,0.0,1,0,0.04,0.002,0.019,0.0,0.061
Set7,NGCUTFS,NGCUTFS2-155,500,500,100,100,21751,21163,168,171,100,100,7815,7360,30000,30000,0.0,1,0,0.035,0.002,0.02,0.0,0.057
Set7,NGCUTFS,NGCUTFS2-156,500,500,100,100,22141,21990,494,500,100,100,22141,21990,30000,30000,0.0,1,0,0.018,0.0,0.0,0.0,0.018
Set7,NGCUTFS,NGCUTFS2-157,500,500,100,100,21572,21252,161,166,100,100,7500,6671,30000,30000,0.0,1,0,0.036,0.003,0.019,0.0,0.058
Set7,NGCUTFS,NGCUTFS2-158,500,500,100,100,21846,20688,172,173,100,100,6892,7038,30000,30000,0.0,1,0,0.037,0.002,0.019,0.0,0.058
Set7,NGCUTFS,NGCUTFS2-159,500,500,100,100,22010,21451,158,161,100,100,6681,6678,30000,30000,0.0,1,0,0.036,0.002,0.016,0.0,0.054
Set7,NGCUTFS,NGCUTFS2-160,500,500,100,100,21847,20466,163,167,100,100,6955,6531,30000,30000,0.0,1,0,0.035,0.003,0.018,0.0,0.056
Set7,NGCUTFS,NGCUTFS2-161,500,1500,100,100,64464,64533,495,1500,100,100,64464,64533,30000,30000,0.0,1,0,0.02,0.0,0.0,0.0,0.02
Set7,NGCUTFS,NGCUTFS2-162,500,1500,100,100,64965,60633,495,1500,100,100,64965,60633,30000,30000,0.0,1,0,0.023,0.0,0.0,0.0,0.023
Set7,NGCUTFS,NGCUTFS2-163,500,1500,100,100,62316,63093,490,1500,100,100,62316,63093,30000,30000,0.0,1,0,0.022,0.0,0.0,0.0,0.022
Set7,NGCUTFS,NGCUTFS2-164,500,1500,100,100,61746,64560,488,1500,100,100,61746,64560,30000,30000,0.0,1,0,0.023,0.0,0.0,0.0,0.023
Set7,NGCUTFS,NGCUTFS2-165,500,1500,100,100,64182,60261,491,1500,100,100,64182,60261,30000,30000,0.0,1,0,0.022,0.0,0.0,0.0,0.022
Set7,NGCUTFS,NGCUTFS2-166,500,1500,100,100,63969,66099,494,1500,100,100,63969,66099,30000,30000,0.0,1,0,0.021,0.0,0.0,0.0,0.021
Set7,NGCUTFS,NGCUTFS2-167,500,1500,100,100,66081,61752,494,1500,100,100,66081,61752,30000,30000,0.0,1,0,0.021,0.0,0.0,0.0,0.021
Set7,NGCUTFS,NGCUTFS2-168,500,1500,100,100,63516,64383,494,1500,100,100,63516,64383,30000,30000,0.0,1,0,0.021,0.0,0.0,0.0,0.021
